,maze,steps,maze_final_binary,maze_final_decimal,center_agent,flag_1,flag_2
0,1,6,1111111111,1023,S,14,4
0,2,4,0011001001,201,A,14,4
0,3,6,0010000110,134,B,10,0
0,4,5,1111110001,1009,C,10,0
0,5,4,1001100010,610,D,12,2
0,6,5,1001111101,637,S,11,1
0,7,5,1111111110,1022,A,18,8
0,8,4,0011110011,243,B,10,0
0,9,3,0110000001,385,C,15,5
0,10,6,1000010011,531,D,6,15
0,11,4,1101010010,850,S,16,6
0,12,1,0001000000,64,A,2,10
0,13,1,1000000001,513,B,0,10
0,14,3,0001110111,119,C,18,8
0,15,4,0000000110,6,D,14,4
0,16,5,1110011100,924,S,10,0
0,17,4,0011100111,231,A,10,0
0,18,4,0101010110,342,B,16,6
0,19,6,1001100010,610,C,0,11
0,20,10,1011101111,751,D,18,8
0,21,5,1111101001,1001,S,15,5
0,22,4,1110110010,946,A,12,2
0,23,4,0000000011,3,B,10,0
0,24,5,0011000110,198,C,0,18
0,25,5,1000011100,540,D,16,6
0,26,6,1110000111,903,S,10,0
0,27,6,1010110111,695,A,10,0
0,28,6,1111110011,1011,B,17,7
0,29,5,0100100001,289,C,5,17
0,30,4,1011101111,751,D,18,8
0,31,8,1011110111,759,S,10,0
0,32,4,0100000000,256,A,5,14
0,33,5,0000010011,19,B,10,0
0,34,2,1000010000,528,C,6,10
0,35,5,0000010110,22,D,12,2
0,36,5,1101110010,882,S,10,0
0,37,12,0011000100,196,A,2,19
0,38,7,0011000110,198,B,2,10
0,39,7,1001100010,610,C,0,10
0,40,5,0110010000,400,D,12,2
0,41,4,1001000010,578,S,1,10
0,42,4,0001000000,64,A,3,18
0,43,5,1100101010,810,B,10,0
0,44,3,1000000010,514,C,1,11
0,45,2,0100000101,261,D,13,3
0,46,4,0001001000,72,S,10,0
0,47,5,0010111111,191,A,12,2
0,48,3,0000000100,4,B,1,12
0,49,7,0011000100,196,C,17,7
0,50,6,0011000110,198,D,3,12
0,51,4,1110101110,942,S,12,2
0,52,5,1011111100,764,A,12,2
0,53,2,1000000000,512,B,6,11
0,54,4,0101100101,357,C,10,0
0,55,6,1000101111,559,D,16,6
0,56,5,1001000010,578,S,0,12
0,57,5,1001100010,610,A,0,12
0,58,5,1001010010,594,B,16,6
0,59,3,1001100000,608,C,16,6
0,60,6,1001111111,639,D,16,6
0,61,4,1000010000,528,S,16,6
0,62,8,1000101010,554,A,11,1
0,63,3,0000101010,42,B,3,18
0,64,6,1111100001,993,C,18,8
0,65,7,0011001001,201,D,5,19
0,66,5,1110100110,934,S,14,4
0,67,5,1010010011,659,A,11,1
0,68,4,1110000001,897,B,0,10
0,69,4,0000100001,33,C,14,4
0,70,4,0010111111,191,D,14,4
0,71,3,1001000000,576,S,12,2
0,72,3,1110110100,948,A,10,0
0,73,4,1000000001,513,B,1,12
0,74,2,1000000010,514,C,0,16
0,75,6,0001000110,70,D,3,17
0,76,5,1010000001,641,S,0,15
0,77,3,0101011011,347,A,10,0
0,78,2,0000000001,1,B,0,10
0,79,7,1001100010,610,C,0,10
0,80,4,0001010101,85,D,18,8
0,81,5,1001010011,595,S,0,10
0,82,4,1010000111,647,A,12,2
0,83,5,0000100010,34,B,11,1
0,84,8,1001100010,610,C,0,16
0,85,5,1000000011,515,D,6,12
0,86,6,0101010100,340,S,0,12
0,87,6,0100100100,292,A,4,12
0,88,5,0011000110,198,B,2,10
0,89,6,1111100001,993,C,16,6
0,90,5,1100000001,769,D,13,3
0,91,3,0100111000,312,S,10,0
0,92,5,1000010110,534,A,11,1
0,93,5,1000010010,530,B,7,10
0,94,5,0011000010,194,C,18,8
0,95,4,0011001101,205,D,14,4
0,96,4,0101110010,370,S,13,3
0,97,4,1110001111,911,A,12,2
0,98,6,0100100101,293,B,11,1
0,99,7,1111110110,1014,C,8,16
0,100,7,1110000001,897,D,14,4
0,101,4,0101000100,324,S,1,14
0,102,6,0000100101,37,A,10,0
0,103,5,1000010000,528,B,7,10
0,104,5,0101000100,324,C,0,14
0,105,3,0000100000,32,D,2,14
0,106,5,1111111100,1020,S,10,0
0,107,4,0001001011,75,A,14,4
0,108,6,1110011111,927,B,19,9
0,109,5,0101111010,378,C,16,6
0,110,5,0100100111,295,D,13,3
