,maze,steps,maze_final_binary,maze_final_decimal,center_agent,flag_1,flag_2
0,8484,5,0000000000,0,C,19,9
0,8485,8,0000000000,0,D,18,8
0,8486,8,0000000000,0,S,17,7
0,8487,6,0000000000,0,A,19,9
0,8488,5,0000000000,0,B,19,9
0,8489,6,0000000000,0,C,18,8
0,8490,8,0000010000,16,D,18,8
0,8491,7,0000000000,0,S,16,6
0,8492,10,0000000000,0,A,19,9
0,8493,4,0000000000,0,B,19,9
0,8494,5,0000000000,0,C,19,9
0,8495,6,0000000000,0,D,17,7
0,8496,8,0001000000,64,S,16,6
0,8497,6,0000100000,32,A,18,8
0,8498,9,0000000000,0,B,18,8
0,8499,6,0000000000,0,C,18,8
0,8500,9,0000000000,0,D,13,3
0,8501,7,0000000000,0,S,17,7
0,8502,20,0001000000,64,A,3,3
0,8503,7,0000000000,0,B,18,8
0,8504,5,0000000000,0,C,16,6
0,8505,12,0010000000,128,D,15,5
0,8506,5,0000000000,0,S,13,3
0,8507,8,0000000000,0,A,18,8
0,8508,10,0001000000,64,B,13,3
0,8509,9,0000000000,0,C,18,8
0,8510,7,0000000000,0,D,18,8
0,8511,9,0000000000,0,S,16,6
0,8512,7,0000000000,0,A,18,8
0,8513,3,0000000000,0,B,18,8
0,8514,4,0000000000,0,C,18,8
0,8515,9,0000000000,0,D,18,8
0,8516,4,0001000000,64,S,16,6
0,8517,8,0000000000,0,A,19,9
0,8518,7,0000000000,0,B,19,9
0,8519,19,0010000000,128,C,15,5
0,8520,9,0000000000,0,D,12,2
0,8521,9,0001000000,64,S,17,7
0,8522,4,0000100000,32,A,19,9
0,8523,10,0000000000,0,B,19,9
0,8524,6,0000000000,0,C,16,6
0,8525,5,0000000000,0,D,19,9
0,8526,3,0000000000,0,S,12,2
0,8527,6,0000000000,0,A,19,9
0,8528,6,0000000000,0,B,13,3
0,8529,6,0000000000,0,C,18,8
0,8530,5,0000000000,0,D,18,8
0,8531,4,0001000000,64,S,16,6
0,8532,20,0001000000,64,A,1,1
0,8533,20,0000100000,32,B,2,2
0,8534,9,0000000000,0,C,14,4
0,8535,5,0000000000,0,D,18,8
0,8536,2,0000000000,0,S,10,0
0,8537,6,0000000000,0,A,19,9
0,8538,8,0000000000,0,B,18,8
0,8539,6,0000000000,0,C,18,8
0,8540,20,0000100000,32,D,8,8
0,8541,5,0000000000,0,S,17,7
0,8542,4,0000000000,0,A,19,9
0,8543,5,0000000000,0,B,12,2
0,8544,7,0000000000,0,C,18,8
0,8545,6,0000000000,0,D,12,2
0,8546,10,0001000000,64,S,16,6
0,8547,9,0000000000,0,A,18,8
0,8548,6,0000000000,0,B,17,7
0,8549,3,0000000000,0,C,17,7
0,8550,6,0000000000,0,D,15,5
0,8551,9,0000000000,0,S,16,6
0,8552,6,0000000000,0,A,18,8
0,8553,5,0000000000,0,B,13,3
0,8554,6,0000000000,0,C,19,9
0,8555,9,0000000000,0,D,19,9
0,8556,9,0000000000,0,S,16,6
0,8557,8,0000000000,0,A,19,9
0,8558,5,0000000000,0,B,19,9
0,8559,10,0000000000,0,C,14,4
0,8560,5,0000000000,0,D,19,9
0,8561,3,0000000000,0,S,10,0
0,8562,6,0000100000,32,A,18,8
0,8563,3,0000000000,0,B,18,8
0,8564,5,0000000000,0,C,17,7
0,8565,9,0000000000,0,D,19,9
0,8566,4,0001000000,64,S,17,7
0,8567,7,0000100000,32,A,19,9
0,8568,10,0000100000,32,B,12,2
0,8569,7,0000000000,0,C,19,9
0,8570,8,0000000000,0,D,18,8
0,8571,7,0000000000,0,S,16,6
0,8572,2,0000000000,0,A,10,0
0,8573,8,0000000000,0,B,19,9
0,8574,7,0000000000,0,C,19,9
0,8575,5,0000000000,0,D,14,4
0,8576,8,0000000000,0,S,16,6
0,8577,15,0001000000,64,A,12,2
0,8578,5,0000000000,0,B,18,8
0,8579,7,0000000000,0,C,17,7
0,8580,4,0000000000,0,D,18,8
0,8581,7,0000000000,0,S,16,6
0,8582,7,0000000000,0,A,18,8
0,8583,4,0000000000,0,B,18,8
0,8584,7,0000000000,0,C,18,8
0,8585,5,0000000000,0,D,18,8
0,8586,4,0000000000,0,S,12,2
0,8587,7,0000100000,32,A,19,9
0,8588,5,0000000000,0,B,18,8
0,8589,7,0000000000,0,C,16,6
0,8590,12,0000000000,0,D,15,5
0,8591,9,0000000000,0,S,16,6
0,8592,7,0000100000,32,A,18,8
0,8593,4,0000000000,0,B,19,9
0,8594,7,0000000000,0,C,19,9
0,8595,9,0010000000,128,D,17,7
0,8596,2,0000000000,0,S,14,4
0,8597,10,0000100000,32,A,18,8
0,8598,7,0000000000,0,B,13,3
0,8599,6,0000000000,0,C,15,5
0,8600,7,0000000000,0,D,19,9
0,8601,5,0000000000,0,S,17,7
0,8602,8,0000000000,0,A,18,8
0,8603,5,0000000000,0,B,19,9
0,8604,4,0000000000,0,C,17,7
0,8605,5,0000000000,0,D,18,8
0,8606,6,0000000000,0,S,12,2
0,8607,20,0001000000,64,A,2,2
0,8608,17,0001000000,64,B,2,12
0,8609,6,0000000000,0,C,15,5
0,8610,5,0000000000,0,D,13,3
0,8611,8,0000100000,32,S,13,3
0,8612,5,0000000000,0,A,12,2
0,8613,7,0000000000,0,B,19,9
0,8614,5,0000000000,0,C,17,7
0,8615,7,0000100000,32,D,12,2
0,8616,5,0000000000,0,S,16,6
0,8617,4,0000000000,0,A,13,3
0,8618,6,0000000000,0,B,16,6
0,8619,6,0000000000,0,C,19,9
0,8620,6,0000000000,0,D,19,9
0,8621,20,0000100000,32,S,2,2
0,8622,6,0000100000,32,A,19,9
0,8623,16,0001000000,64,B,12,2
0,8624,9,0000000000,0,C,18,8
0,8625,9,0000100000,32,D,12,2
0,8626,3,0000000000,0,S,15,5
0,8627,3,0000000000,0,A,10,0
0,8628,8,0000000000,0,B,16,6
0,8629,6,0000000000,0,C,18,8
0,8630,4,0000000000,0,D,13,3
0,8631,7,0000000000,0,S,17,7
0,8632,7,0000000000,0,A,19,9
0,8633,7,0000000000,0,B,17,7
0,8634,7,0000000000,0,C,19,9
0,8635,9,0000000000,0,D,18,8
0,8636,5,0000000000,0,S,17,7
0,8637,5,0000000000,0,A,19,9
0,8638,7,0000000000,0,B,19,9
0,8639,5,0000000000,0,C,16,6
0,8640,10,0000000000,0,D,13,3
0,8641,5,0001000000,64,S,17,7
0,8642,4,0000000000,0,A,18,8
0,8643,6,0000000000,0,B,19,9
0,8644,4,0000000000,0,C,16,6
0,8645,7,0000000000,0,D,19,9
0,8646,5,0000000000,0,S,17,7
0,8647,6,0000100000,32,A,18,8
0,8648,7,0000000000,0,B,18,8
0,8649,4,0000000000,0,C,18,8
0,8650,8,0000000000,0,D,19,9
0,8651,3,0000000000,0,S,16,6
0,8652,13,0001000000,64,A,12,2
0,8653,7,0000000000,0,B,16,6
0,8654,6,0000000000,0,C,18,8
0,8655,8,0000000000,0,D,18,8
0,8656,5,0000000000,0,S,16,6
0,8657,13,0001000000,64,A,13,3
0,8658,4,0000000000,0,B,17,7
0,8659,5,0000000000,0,C,16,6
0,8660,6,0000000000,0,D,18,8
0,8661,5,0000000000,0,S,17,7
0,8662,6,0000000000,0,A,13,3
0,8663,6,0000000000,0,B,12,2
0,8664,8,0000000000,0,C,19,9
0,8665,5,0000000000,0,D,16,6
0,8666,3,0000000000,0,S,16,6
0,8667,10,0000000000,0,A,19,9
0,8668,6,0000000000,0,B,11,1
0,8669,5,0000000000,0,C,16,6
0,8670,5,0000000000,0,D,19,9
0,8671,5,0000000000,0,S,16,6
0,8672,6,0000000000,0,A,18,8
0,8673,5,0000000000,0,B,19,9
0,8674,4,0000000000,0,C,18,8
0,8675,9,0000000000,0,D,18,8
0,8676,5,0000000000,0,S,16,6
0,8677,8,0000000000,0,A,18,8
0,8678,9,0001000000,64,B,12,2
0,8679,6,0000000000,0,C,16,6
0,8680,7,0000000000,0,D,12,2
0,8681,1,0000000000,0,S,17,7
0,8682,5,0000100000,32,A,18,8
0,8683,15,0000100000,32,B,13,3
0,8684,6,0000000000,0,C,19,9
0,8685,8,0000000000,0,D,19,9
0,8686,5,0000000000,0,S,16,6
0,8687,2,0000000000,0,A,13,3
0,8688,6,0000000000,0,B,18,8
0,8689,6,0000000000,0,C,17,7
0,8690,9,0000000000,0,D,19,9
0,8691,8,0001000000,64,S,17,7
0,8692,6,0000000000,0,A,19,9
0,8693,7,0000000000,0,B,13,3
0,8694,5,0000000000,0,C,17,7
0,8695,16,0000000010,2,D,19,9
0,8696,9,0000100000,32,S,12,2
0,8697,6,0000000000,0,A,19,9
0,8698,7,0000000000,0,B,19,9
0,8699,7,0000000000,0,C,17,7
0,8700,5,0000000000,0,D,19,9
0,8701,5,0000000000,0,S,16,6
0,8702,6,0000000000,0,A,19,9
0,8703,8,0000000000,0,B,12,2
0,8704,6,0000000000,0,C,18,8
0,8705,8,0000000000,0,D,19,9
0,8706,6,0000000000,0,S,17,7
0,8707,8,0000100000,32,A,18,8
0,8708,5,0000000000,0,B,12,2
0,8709,9,0000000000,0,C,19,9
0,8710,17,0001000000,64,D,13,3
0,8711,6,0001000000,64,S,12,2
0,8712,4,0000000000,0,A,18,8
0,8713,5,0000000000,0,B,18,8
0,8714,6,0000000000,0,C,17,7
0,8715,8,0000000000,0,D,12,2
0,8716,5,0000000000,0,S,12,2
0,8717,7,0000000000,0,A,19,9
0,8718,8,0000000000,0,B,17,7
0,8719,6,0000000000,0,C,19,9
0,8720,8,0000000000,0,D,18,8
0,8721,9,0000000000,0,S,17,7
0,8722,5,0000000000,0,A,19,9
0,8723,20,0000100000,32,B,3,3
0,8724,6,0000000000,0,C,17,7
0,8725,8,0000000000,0,D,18,8
0,8726,2,0000000000,0,S,13,3
0,8727,3,0000000000,0,A,14,4
0,8728,4,0000000000,0,B,12,2
0,8729,6,0000000000,0,C,14,4
0,8730,7,0000000000,0,D,18,8
0,8731,11,0000100000,32,S,10,0
0,8732,9,0000000000,0,A,19,9
0,8733,5,0000000000,0,B,19,9
0,8734,5,0000000000,0,C,16,6
0,8735,16,0010000000,128,D,14,4
0,8736,5,0001000000,64,S,16,6
0,8737,5,0000000000,0,A,14,4
0,8738,8,0000000000,0,B,19,9
0,8739,7,0000000000,0,C,17,7
0,8740,6,0000000000,0,D,19,9
0,8741,6,0000000000,0,S,17,7
0,8742,8,0000000000,0,A,18,8
0,8743,12,0001000000,64,B,12,2
0,8744,6,0000000000,0,C,18,8
0,8745,9,0000000000,0,D,13,3
0,8746,3,0000000000,0,S,16,6
0,8747,6,0000000000,0,A,13,3
0,8748,5,0000000000,0,B,19,9
0,8749,8,0000000000,0,C,18,8
0,8750,7,0000000000,0,D,18,8
0,8751,3,0000000000,0,S,12,2
0,8752,7,0000000000,0,A,18,8
0,8753,5,0000000000,0,B,18,8
0,8754,9,0000000000,0,C,18,8
0,8755,9,0000000000,0,D,19,9
0,8756,13,0000000000,0,S,15,5
0,8757,7,0000000000,0,A,19,9
0,8758,11,0000100000,32,B,12,2
0,8759,5,0000000000,0,C,19,9
0,8760,8,0000000000,0,D,18,8
0,8761,15,0000100000,32,S,12,2
0,8762,7,0000000000,0,A,18,8
0,8763,5,0000000000,0,B,12,2
0,8764,6,0000000000,0,C,17,7
0,8765,3,0000000000,0,D,12,2
0,8766,5,0000000000,0,S,16,6
0,8767,6,0000000000,0,A,18,8
0,8768,8,0000000000,0,B,13,3
0,8769,9,0000000000,0,C,18,8
0,8770,3,0000000000,0,D,13,3
0,8771,5,0000000000,0,S,12,2
0,8772,10,0000000000,0,A,19,9
0,8773,9,0000000000,0,B,18,8
0,8774,5,0000000000,0,C,16,6
