,maze,steps,maze_final_binary,maze_final_decimal,center_agent,flag_1,flag_2
0,1,4,1110000000,896,S,11,1
0,2,2,0000000000,0,A,14,4
0,3,6,0000000000,0,B,12,2
0,4,10,1000000000,512,C,7,14
0,5,10,0100100000,288,D,5,13
0,6,2,0000000000,0,S,11,1
0,7,5,1000000000,512,A,10,0
0,8,20,0100000001,257,B,1,1
0,9,1,0000000000,0,C,16,6
0,10,20,0010000000,128,D,3,3
0,11,20,0100100000,288,S,3,3
0,12,20,0000100101,37,A,0,0
0,13,13,0010000001,129,B,11,1
0,14,0,0000000000,0,C,10,0
0,15,2,0000001000,8,D,12,2
0,16,2,0000000000,0,S,10,0
0,17,20,0000100101,37,A,1,0
0,18,1,0010100000,160,B,11,1
0,19,16,0100000100,260,C,4,11
0,20,10,0000000100,4,D,15,5
0,21,6,1100000000,768,S,13,3
0,22,6,0100100000,288,A,5,12
0,23,11,0010000001,129,B,11,1
0,24,2,0000000000,0,C,17,7
0,25,5,0000001000,8,D,12,2
0,26,2,0100000000,256,S,11,1
0,27,4,0000000000,0,A,12,2
0,28,3,1110000000,896,B,10,0
0,29,1,0000000001,1,C,10,0
0,30,20,0000100000,32,D,3,3
0,31,1,1000000000,512,S,15,5
0,32,3,0000000000,0,A,14,4
0,33,4,0000000000,0,B,11,1
0,34,8,0010000001,129,C,10,0
0,35,5,1110001010,906,D,15,5
0,36,1,0000000000,0,S,10,0
0,37,3,0100000000,256,A,4,14
0,38,0,0000000000,0,B,10,0
0,39,12,0000000000,0,C,10,0
0,40,3,0000000000,0,D,13,3
0,41,3,1001000000,576,S,13,3
0,42,5,1000100000,544,A,18,8
0,43,3,0010000000,128,B,16,6
0,44,0,0000000000,0,C,10,0
0,45,12,0000100000,32,D,12,2
0,46,2,1000000000,512,S,17,7
0,47,3,1000000000,512,A,11,1
0,48,14,0010000001,129,B,11,1
0,49,13,0010000001,129,C,14,4
0,50,15,1110000000,896,D,18,8
0,51,20,0010100000,160,S,3,3
0,52,4,0000100001,33,A,11,1
0,53,4,1000000000,512,B,7,11
0,54,0,0000000001,1,C,10,0
0,55,7,1110000000,896,D,8,15
0,56,20,1111010000,976,S,2,2
0,57,4,0100100000,288,A,4,14
0,58,17,0100100000,288,B,13,3
0,59,15,0010000001,129,C,16,6
0,60,5,0000001000,8,D,18,8
0,61,4,1110000000,896,S,16,6
0,62,1,0000100000,32,A,10,0
0,63,4,0010000000,128,B,17,7
0,64,2,0000000001,1,C,10,0
0,65,20,0100001110,270,D,5,4
0,66,7,1001000000,576,S,13,3
0,67,1,1000000000,512,A,18,8
0,68,5,1000100000,544,B,13,3
0,69,0,0000000000,0,C,10,0
0,70,2,0100000100,260,D,5,14
0,71,3,1000000000,512,S,13,3
0,72,12,0000000001,1,A,11,1
0,73,1,0000000000,0,B,12,2
0,74,3,0000000000,0,C,15,5
0,75,15,0010000000,128,D,15,5
0,76,8,0000000100,4,S,11,1
0,77,4,0100100000,288,A,5,14
0,78,3,1000000000,512,B,6,16
0,79,2,0000000001,1,C,11,1
0,80,3,1000000000,512,D,6,16
0,81,18,0010100000,160,S,13,3
0,82,2,0000000000,0,A,15,5
0,83,15,0100100100,292,B,12,2
0,84,7,0100000001,257,C,4,11
0,85,4,1000000000,512,D,6,15
0,86,10,0100100000,288,S,13,3
0,87,2,0000100000,32,A,12,2
0,88,14,0000100000,32,B,13,3
0,89,12,0000001000,8,C,10,0
0,90,14,0000100000,32,D,12,2
0,91,20,0010000001,129,S,1,1
0,92,12,0000000001,1,A,10,0
0,93,20,0010110000,176,B,3,3
0,94,2,0000000001,1,C,10,0
0,95,3,0000000000,0,D,18,8
0,96,9,0100100000,288,S,13,3
0,97,0,0010000000,128,A,10,0
0,98,8,1110000000,896,B,11,1
0,99,20,0010000001,129,C,5,5
0,100,1,0000000100,4,D,13,3
0,101,3,0000000000,0,S,10,0
0,102,4,0100100000,288,A,5,14
0,103,2,1010000000,640,B,11,1
0,104,2,0000000000,0,C,15,5
0,105,6,1000000000,512,D,7,18
0,106,12,0100100100,292,S,12,2
0,107,8,0000100000,32,A,12,2
0,108,20,0010110000,176,B,3,3
0,109,0,0000000001,1,C,10,0
0,110,20,0010000000,128,D,5,5
0,111,10,0000100000,32,S,13,3
0,112,6,0000100000,32,A,13,3
0,113,5,1001100000,608,B,12,2
0,114,15,0010000001,129,C,17,7
0,115,2,0100001100,268,D,15,5
0,116,2,0000000000,0,S,15,5
0,117,3,0000100000,32,A,15,5
0,118,12,1111110000,1008,B,12,2
0,119,3,0000000000,0,C,14,4
0,120,4,1000000000,512,D,6,12
0,121,20,0010000000,128,S,4,4
0,122,4,1000000000,512,A,10,0
0,123,20,0010110111,183,B,0,0
0,124,20,1100000000,768,C,4,5
0,125,20,0110000000,384,D,4,4
0,126,14,0100100000,288,S,10,0
0,127,3,1000000000,512,A,18,8
0,128,2,1000000000,512,B,6,16
0,129,10,0100000100,260,C,4,17
0,130,16,0010001000,136,D,14,4
0,131,3,0000000000,0,S,15,5
0,132,4,1000000000,512,A,10,0
0,133,16,0000100000,32,B,12,2
0,134,5,1000000000,512,C,6,14
0,135,20,0010000000,128,D,5,5
0,136,1,1100000000,768,S,11,1
0,137,3,0100000000,256,A,4,14
0,138,3,0010000110,134,B,10,0
0,139,20,0010000000,128,C,5,5
0,140,4,1000000000,512,D,19,9
0,141,6,1110000000,896,S,15,5
