,maze,steps,maze_final_binary,maze_final_decimal,center_agent,flag_1,flag_2
0,1,12,0101000000,320,S,12,2
0,2,5,1110110000,944,A,14,4
0,3,12,0001000100,68,B,10,0
0,4,20,1000010000,528,C,6,6
0,5,5,0101011001,345,D,14,4
0,6,4,0101010000,336,S,12,2
0,7,5,0101110100,372,A,10,0
0,8,5,0000100000,32,B,11,1
0,9,9,0000010100,20,C,11,1
0,10,16,1000010000,528,D,12,2
0,11,18,0101010100,340,S,10,0
0,12,5,1001111100,636,A,14,4
0,13,9,0000000100,4,B,11,1
0,14,20,1000010000,528,C,7,7
0,15,17,0001010000,80,D,13,3
0,16,6,0001000000,64,S,10,0
0,17,7,1001111100,636,A,10,0
0,18,10,0000000000,0,B,10,0
0,19,20,0000010000,16,C,6,6
0,20,4,0000100000,32,D,12,2
0,21,4,0001010000,80,S,12,2
0,22,4,1001010000,592,A,14,4
0,23,12,1000000000,512,B,19,9
0,24,20,1000010000,528,C,6,6
0,25,5,0000100000,32,D,13,3
0,26,6,0101000000,320,S,17,7
0,27,3,0000110000,48,A,14,4
0,28,10,1001000000,576,B,12,2
0,29,11,0000010000,16,C,11,1
0,30,6,0001000000,64,D,3,14
0,31,7,0100000000,256,S,17,7
0,32,5,0001001101,77,A,13,3
0,33,6,0000000000,0,B,16,6
0,34,9,1100000000,768,C,15,5
0,35,20,0000001000,8,D,4,4
0,36,13,0101010000,336,S,17,7
0,37,5,1000101100,556,A,11,1
0,38,7,0000100000,32,B,3,12
0,39,11,0000010100,20,C,11,1
0,40,9,1100000000,768,D,14,4
0,41,2,0100100000,288,S,10,0
0,42,3,1001000100,580,A,12,2
0,43,12,0001000100,68,B,2,11
0,44,20,0000010100,20,C,0,0
0,45,3,0000100000,32,D,2,12
0,46,6,0100000000,256,S,10,0
0,47,4,1111110000,1008,A,12,2
0,48,8,1000000000,512,B,18,8
0,49,6,0000010000,16,C,17,7
0,50,20,0000110000,48,D,2,2
0,51,2,0001000000,64,S,12,2
0,52,9,1001100100,612,A,2,11
0,53,20,0000000100,4,B,1,1
0,54,14,0000011000,24,C,10,0
0,55,12,0000110000,48,D,13,3
0,56,17,0101000100,324,S,10,0
0,57,8,0000110000,48,A,15,5
0,58,6,0000100000,32,B,13,3
0,59,5,0000010000,16,C,10,0
0,60,10,1001000000,576,D,13,3
0,61,4,0100100000,288,S,14,4
0,62,6,1001010000,592,A,14,4
0,63,3,0000100000,32,B,11,1
0,64,14,0000010000,16,C,16,6
0,65,8,0000110000,48,D,13,3
0,66,14,0101000100,324,S,11,1
0,67,4,1011000000,704,A,13,3
0,68,6,0001000000,64,B,12,2
0,69,17,1000010000,528,C,16,6
0,70,13,0001001001,73,D,12,2
0,71,1,0110000000,384,S,10,0
0,72,7,1111110000,1008,A,10,0
0,73,6,0001000000,64,B,10,0
0,74,20,0100000000,256,C,4,4
0,75,17,1000000000,512,D,16,6
0,76,7,0101000000,320,S,12,2
0,77,6,1001010100,596,A,12,2
0,78,5,0000100000,32,B,13,3
0,79,20,1000010000,528,C,6,6
0,80,2,0000001000,8,D,13,3
0,81,12,0011000000,192,S,15,5
0,82,5,1011100000,736,A,19,9
0,83,6,0001000000,64,B,3,10
0,84,20,1000010000,528,C,6,6
0,85,14,0100000000,256,D,15,5
