,maze,steps,maze_final_binary,maze_final_decimal,center_agent,flag_1,flag_2
0,1,13,1101100000,864,S,3,12
0,2,9,0010000000,128,A,19,9
0,3,13,0001100100,100,B,12,2
0,4,6,0010100000,160,C,19,9
0,5,20,0100000100,260,D,5,5
0,6,13,0100000100,260,S,10,0
0,7,5,0010000000,128,A,19,9
0,8,7,0010000000,128,B,18,8
0,9,13,0000100010,34,C,11,1
0,10,8,0000100000,32,D,3,18
0,11,7,0010000000,128,S,4,11
0,12,6,0010100000,160,A,19,9
0,13,3,0010110000,176,B,12,2
0,14,10,0000100010,34,C,1,11
0,15,20,0010100110,166,D,3,7
0,16,15,1100100010,802,S,2,10
0,17,4,0011100000,224,A,11,1
0,18,9,0000110000,48,B,3,19
0,19,20,1011110000,752,C,5,4
0,20,14,1000000000,512,D,17,7
0,21,2,0010000010,130,S,10,0
0,22,10,0010110000,176,A,18,8
0,23,6,0010000010,130,B,11,1
0,24,20,0011110000,240,C,5,6
0,25,11,0100100000,288,D,2,14
0,26,5,0010000000,128,S,5,10
0,27,20,0100100000,288,A,5,5
0,28,8,0010000000,128,B,10,0
0,29,6,0010000001,129,C,4,18
0,30,20,0100100000,288,D,2,4
0,31,12,1101100000,864,S,3,10
0,32,8,0010000000,128,A,13,3
0,33,6,0010000000,128,B,19,9
0,34,6,0011000000,192,C,4,11
0,35,7,0000000000,0,D,19,9
0,36,3,0000000000,0,S,10,0
0,37,8,0010000000,128,A,19,9
0,38,19,0011000000,192,B,19,9
0,39,5,0010100010,162,C,10,0
0,40,7,0010110000,176,D,6,12
0,41,20,1100000001,769,S,0,0
0,42,12,0100000000,256,A,14,4
0,43,5,0010000010,130,B,19,9
0,44,8,0000100010,34,C,0,10
0,45,7,0010000000,128,D,4,19
0,46,8,0100100000,288,S,2,15
0,47,5,0000100000,32,A,12,2
0,48,4,0010000000,128,B,16,6
0,49,3,0010000100,132,C,0,10
0,50,7,0000100000,32,D,2,18
0,51,8,1110000000,896,S,10,0
0,52,5,0010100000,160,A,18,8
0,53,5,0010000000,128,B,18,8
0,54,4,0010100000,160,C,14,4
0,55,14,0100100000,288,D,2,14
0,56,20,0010000001,129,S,0,0
0,57,5,0010110000,176,A,19,9
0,58,2,0000100000,32,B,2,12
0,59,9,0010000000,128,C,4,18
0,60,4,0000100100,36,D,2,19
0,61,5,1100000000,768,S,10,0
0,62,5,0010000000,128,A,19,9
0,63,6,0010000000,128,B,10,0
0,64,2,0010000001,129,C,5,11
0,65,12,0100000100,260,D,15,5
0,66,13,1100000000,768,S,13,3
0,67,6,0010100000,160,A,19,9
0,68,20,0010000010,130,B,2,2
0,69,5,0000100000,32,C,16,6
0,70,12,0011000000,192,D,4,18
0,71,5,1100000000,768,S,11,1
0,72,4,0010000010,130,A,18,8
0,73,6,0010000000,128,B,19,9
0,74,20,0000100000,32,C,4,4
0,75,14,0010110110,182,D,12,2
0,76,8,0100100000,288,S,2,13
0,77,10,0010000000,128,A,19,9
0,78,8,0000100010,34,B,3,18
0,79,8,0010100000,160,C,18,8
0,80,3,0000000000,0,D,19,9
0,81,7,0100000100,260,S,16,6
0,82,5,0011100010,226,A,19,9
0,83,12,0000100000,32,B,3,18
0,84,9,0011000000,192,C,4,11
0,85,7,0000100100,36,D,3,14
0,86,6,1110000000,896,S,12,2
0,87,8,0100000001,257,A,10,0
0,88,5,0010000000,128,B,19,9
0,89,11,0100100000,288,C,10,0
0,90,20,0011000000,192,D,3,3
0,91,5,0010000000,128,S,4,12
0,92,16,0011000000,192,A,13,3
0,93,5,0010110000,176,B,13,3
0,94,20,0011110000,240,C,4,6
0,95,7,0010000000,128,D,5,19
0,96,10,1100000001,769,S,10,0
0,97,2,0000100000,32,A,12,2
0,98,6,0000100000,32,B,2,11
0,99,5,0010000001,129,C,4,10
0,100,9,0000000000,0,D,19,9
0,101,4,1100100000,800,S,2,12
0,102,3,0010000000,128,A,19,9
0,103,8,0010000000,128,B,10,0
0,104,6,0010000000,128,C,5,19
0,105,9,0010000100,132,D,5,19
0,106,6,1100000000,768,S,10,0
0,107,7,0010000000,128,A,19,9
0,108,10,0000100000,32,B,2,19
0,109,8,0000100001,33,C,18,8
0,110,4,0000000100,4,D,18,8
0,111,4,1100000000,768,S,11,1
0,112,5,0010100000,160,A,14,4
0,113,5,0000100000,32,B,2,18
0,114,10,0010000000,128,C,4,10
0,115,6,0000000010,2,D,19,9
0,116,6,0010000000,128,S,4,10
0,117,9,0010110000,176,A,19,9
0,118,7,0010110000,176,B,12,2
0,119,3,0010100000,160,C,10,0
0,120,6,0010110000,176,D,6,12
0,121,5,0100100010,290,S,3,10
0,122,20,0100100000,288,A,5,5
0,123,6,1000100010,546,B,3,16
0,124,3,0000100000,32,C,10,0
0,125,12,0011000000,192,D,4,18
0,126,5,0000000000,0,S,10,0
0,127,8,0010000000,128,A,18,8
0,128,10,0010000010,130,B,18,8
0,129,15,0100100000,288,C,14,4
0,130,8,0010000000,128,D,4,18
