,maze,steps,maze_final_binary,maze_final_decimal,center_agent,flag_1,flag_2
0,1,10,0010010000,144,S,13,3
0,2,14,0000000001,1,A,13,3
0,3,6,0000010000,16,B,17,7
0,4,8,0010000000,128,C,14,4
0,5,5,0000000000,0,D,16,6
0,6,20,0101010000,336,S,2,2
0,7,17,0000010000,16,A,12,2
0,8,3,0000010000,16,B,11,1
0,9,7,0100000000,256,C,5,15
0,10,20,0010000001,129,D,5,5
0,11,20,0101010000,336,S,2,2
0,12,0,0000000000,0,A,10,0
0,13,6,0000010000,16,B,13,3
0,14,15,0010000000,128,C,14,4
0,15,3,0000000001,1,D,12,2
0,16,5,0100001011,267,S,16,6
0,17,20,0010110000,176,A,2,2
0,18,5,0100010000,272,B,10,0
0,19,6,0100000000,256,C,5,15
0,20,4,0100000000,256,D,4,14
0,21,1,0100011000,280,S,10,0
0,22,2,0010000000,128,A,11,1
0,23,5,0000010000,16,B,16,6
0,24,7,0100000000,256,C,4,11
0,25,20,0010000001,129,D,5,4
0,26,20,0101010000,336,S,2,2
0,27,3,0010000000,128,A,14,4
0,28,3,0000010000,16,B,10,0
0,29,5,0110101000,424,C,10,0
0,30,20,0010000001,129,D,5,5
0,31,20,0011001000,200,S,4,4
0,32,20,0000011000,24,A,1,1
0,33,20,0000010000,16,B,0,0
0,34,5,0100000000,256,C,0,16
0,35,3,0000000001,1,D,12,2
0,36,3,0001001000,72,S,12,2
0,37,10,0010001000,136,A,11,1
0,38,5,0000010000,16,B,13,3
0,39,4,0000000000,0,C,15,5
0,40,10,0100010000,272,D,16,6
0,41,14,0011000000,192,S,14,4
0,42,4,0000000000,0,A,10,0
0,43,20,0000011000,24,B,1,1
0,44,4,0100000000,256,C,4,11
0,45,6,0100000000,256,D,4,14
0,46,1,0100000000,256,S,17,7
0,47,9,0010000001,129,A,13,3
0,48,11,1000010000,528,B,18,8
0,49,3,0100000000,256,C,4,11
0,50,14,0101010000,336,D,12,2
0,51,12,0000011000,24,S,12,2
0,52,10,1110110000,944,A,12,2
0,53,10,0000011000,24,B,11,1
0,54,6,0100000000,256,C,4,17
0,55,6,0100000001,257,D,4,13
0,56,7,0101000000,320,S,10,0
0,57,7,1111010000,976,A,12,2
0,58,3,0000010000,16,B,10,0
0,59,5,0100000000,256,C,4,10
0,60,11,0010000001,129,D,15,5
0,61,18,0011001000,200,S,15,5
0,62,20,0010001000,136,A,1,1
0,63,5,0100010000,272,B,13,3
